# Goxel 0.7.3
# One line per voxel
# X Y Z RRGGBB
-9 -9 0 595652
-8 -9 0 595652
-7 -9 0 595652
-6 -9 0 595652
-5 -9 0 595652
-4 -9 0 595652
-3 -9 0 595652
-2 -9 0 595652
-1 -9 0 595652
-9 -8 0 595652
-8 -8 0 595652
-7 -8 0 595652
-6 -8 0 595652
-5 -8 0 595652
-4 -8 0 595652
-3 -8 0 595652
-2 -8 0 595652
-1 -8 0 595652
-9 -7 0 595652
-8 -7 0 595652
-7 -7 0 595652
-6 -7 0 595652
-5 -7 0 595652
-4 -7 0 595652
-3 -7 0 595652
-2 -7 0 595652
-1 -7 0 595652
-9 -6 0 595652
-8 -6 0 595652
-7 -6 0 595652
-6 -6 0 595652
-5 -6 0 595652
-4 -6 0 595652
-3 -6 0 595652
-2 -6 0 595652
-1 -6 0 595652
-9 -5 0 595652
-8 -5 0 595652
-7 -5 0 595652
-6 -5 0 595652
-5 -5 0 595652
-4 -5 0 595652
-3 -5 0 595652
-2 -5 0 595652
-1 -5 0 595652
-9 -4 0 595652
-8 -4 0 595652
-7 -4 0 595652
-6 -4 0 595652
-5 -4 0 595652
-4 -4 0 595652
-3 -4 0 595652
-2 -4 0 595652
-1 -4 0 595652
-9 -3 0 595652
-8 -3 0 595652
-7 -3 0 595652
-6 -3 0 595652
-5 -3 0 595652
-4 -3 0 595652
-3 -3 0 595652
-2 -3 0 595652
-1 -3 0 595652
-9 -2 0 595652
-8 -2 0 595652
-7 -2 0 595652
-6 -2 0 595652
-5 -2 0 595652
-4 -2 0 595652
-3 -2 0 595652
-2 -2 0 595652
-1 -2 0 595652
-9 -1 0 595652
-8 -1 0 595652
-7 -1 0 595652
-6 -1 0 595652
-5 -1 0 595652
-4 -1 0 595652
-3 -1 0 595652
-2 -1 0 595652
-1 -1 0 595652
-9 -9 1 595652
-8 -9 1 595652
-7 -9 1 595652
-6 -9 1 595652
-5 -9 1 595652
-4 -9 1 595652
-3 -9 1 595652
-2 -9 1 595652
-1 -9 1 fbf236
-9 -8 1 595652
-8 -8 1 222034
-7 -8 1 222034
-6 -8 1 222034
-5 -8 1 222034
-4 -8 1 222034
-3 -8 1 222034
-2 -8 1 222034
-1 -8 1 222034
-9 -7 1 595652
-8 -7 1 222034
-7 -7 1 222034
-6 -7 1 222034
-5 -7 1 222034
-4 -7 1 222034
-3 -7 1 222034
-2 -7 1 222034
-1 -7 1 222034
-9 -6 1 595652
-8 -6 1 222034
-7 -6 1 222034
-6 -6 1 222034
