# Goxel 0.7.3
# One line per voxel
# X Y Z RRGGBB
-1 -8 1 3f3f74
-1 -7 1 5fcde4
-1 -6 1 5fcde4
-1 -5 1 5fcde4
-1 -4 1 5fcde4
-1 -3 1 23a4cb
-1 -2 1 23a4cb
-1 -1 1 23a4cb
-2 -7 2 847e87
-1 -7 2 3f3f74
-2 -6 2 847e87
-1 -6 2 23a4cb
-3 -5 2 847e87
-2 -5 2 847e87
-1 -5 2 23a4cb
-3 -4 2 847e87
-2 -4 2 847e87
-1 -4 2 23a4cb
-4 -3 2 847e87
-3 -3 2 847e87
-2 -3 2 23a4cb
-1 -3 2 23a4cb
-4 -2 2 847e87
-3 -2 2 847e87
-2 -2 2 23a4cb
-1 -2 2 23a4cb
-5 -1 2 847e87
-4 -1 2 847e87
-3 -1 2 847e87
-2 -1 2 847e87
-1 -1 2 23a4cb
-1 -6 3 3f3f74
-1 -5 3 3f3f74
-1 -4 3 23a4cb
-2 -3 3 5fcde4
-1 -3 3 23a4cb
-2 -2 3 5fcde4
-1 -2 3 23a4cb
-1 -1 3 3f3f74
-1 -4 4 5b6ee1
-1 -3 4 5b6ee1
-1 -2 4 5b6ee1
0 -8 1 3f3f74
0 -7 1 5fcde4
0 -6 1 5fcde4
0 -5 1 5fcde4
0 -4 1 5fcde4
0 -3 1 5fcde4
0 -2 1 5fcde4
0 -1 1 5fcde4
0 -7 2 3f3f74
1 -7 2 847e87
0 -6 2 5fcde4
1 -6 2 847e87
0 -5 2 5fcde4
1 -5 2 847e87
2 -5 2 847e87
0 -4 2 5fcde4
1 -4 2 847e87
2 -4 2 847e87
0 -3 2 5fcde4
1 -3 2 23a4cb
2 -3 2 847e87
3 -3 2 847e87
0 -2 2 5fcde4
1 -2 2 23a4cb
2 -2 2 847e87
3 -2 2 847e87
0 -1 2 5fcde4
1 -1 2 847e87
2 -1 2 847e87
3 -1 2 847e87
4 -1 2 847e87
0 -6 3 3f3f74
0 -5 3 3f3f74
0 -4 3 23a4cb
0 -3 3 23a4cb
1 -3 3 5fcde4
0 -2 3 23a4cb
1 -2 3 5fcde4
0 -1 3 3f3f74
0 -4 4 5b6ee1
0 -3 4 5b6ee1
0 -2 4 5b6ee1
-1 0 1 5fcde4
-3 1 1 5fcde4
-2 1 1 3f3f74
-1 1 1 5fcde4
-4 2 1 5fcde4
-3 2 1 3f3f74
-2 2 1 3f3f74
-1 2 1 3f3f74
-4 3 1 3f3f74
-3 3 1 3f3f74
-2 3 1 3f3f74
-1 3 1 3f3f74
-7 4 1 3f3f74
-6 4 1 5fcde4
-5 4 1 5fcde4
-4 4 1 3f3f74
-3 4 1 3f3f74
-2 4 1 3f3f74
-1 4 1 5fcde4
-7 5 1 3f3f74
-6 5 1 5fcde4
-5 5 1 3f3f74
-4 5 1 3f3f74
-3 5 1 3f3f74
-2 5 1 3f3f74
-1 5 1 5fcde4
-8 6 1 5fcde4
-7 6 1 3f3f74
-6 6 1 3f3f74
-5 6 1 3f3f74
-4 6 1 3f3f74
-3 6 1 3f3f74
-2 6 1 3f3f74
-1 6 1 5fcde4
-8 7 1 5fcde4
-7 7 1 3f3f74
-6 7 1 3f3f74
-5 7 1 3f3f74
-4 7 1 3f3f74
-3 7 1 3f3f74
-2 7 1 3f3f74
-1 7 1 5fcde4
-5 0 2 847e87
-4 0 2 847e87
-3 0 2 847e87
-2 0 2 847e87
-1 0 2 5fcde4
-6 1 2 847e87
-5 1 2 847e87
-4 1 2 847e87
-3 1 2 847e87
-1 1 2 3f3f74
-6 2 2 847e87
-5 2 2 847e87
-4 2 2 847e87
-1 2 2 3f3f74
-6 3 2 847e87
-5 3 2 847e87
-1 3 2 3f3f74
-6 4 2 847e87
-5 4 2 847e87
-1 4 2 3f3f74
-6 5 2 847e87
-1 5 2 3f3f74
-8 6 2 5fcde4
-1 6 2 3f3f74
-8 7 2 5fcde4
-1 7 2 3f3f74
-1 0 3 3f3f74
-1 1 3 3f3f74
-1 2 3 3f3f74
-1 3 3 3f3f74
-1 4 3 3f3f74
-1 5 3 3f3f74
-1 6 3 3f3f74
-1 7 3 3f3f74
0 0 1 23a4cb
0 1 1 23a4cb
1 1 1 3f3f74
2 1 1 5fcde4
0 2 1 3f3f74
1 2 1 3f3f74
2 2 1 3f3f74
3 2 1 5fcde4
0 3 1 3f3f74
1 3 1 3f3f74
2 3 1 3f3f74
3 3 1 3f3f74
0 4 1 23a4cb
1 4 1 3f3f74
2 4 1 3f3f74
3 4 1 3f3f74
4 4 1 5fcde4
5 4 1 5fcde4
6 4 1 3f3f74
0 5 1 23a4cb
1 5 1 3f3f74
2 5 1 3f3f74
3 5 1 3f3f74
4 5 1 3f3f74
5 5 1 5fcde4
6 5 1 3f3f74
0 6 1 23a4cb
1 6 1 3f3f74
2 6 1 3f3f74
3 6 1 3f3f74
4 6 1 3f3f74
5 6 1 3f3f74
6 6 1 3f3f74
7 6 1 5fcde4
0 7 1 5fcde4
1 7 1 3f3f74
2 7 1 3f3f74
3 7 1 3f3f74
4 7 1 3f3f74
5 7 1 3f3f74
6 7 1 3f3f74
7 7 1 5fcde4
0 0 2 23a4cb
1 0 2 847e87
2 0 2 847e87
3 0 2 847e87
4 0 2 847e87
0 1 2 3f3f74
2 1 2 847e87
3 1 2 847e87
4 1 2 847e87
5 1 2 847e87
0 2 2 3f3f74
3 2 2 847e87
4 2 2 847e87
5 2 2 847e87
0 3 2 3f3f74
4 3 2 847e87
5 3 2 847e87
0 4 2 3f3f74
4 4 2 847e87
5 4 2 847e87
0 5 2 3f3f74
5 5 2 847e87
0 6 2 3f3f74
7 6 2 5fcde4
0 7 2 3f3f74
7 7 2 5fcde4
0 0 3 3f3f74
0 1 3 3f3f74
0 2 3 3f3f74
0 3 3 3f3f74
0 4 3 3f3f74
0 5 3 3f3f74
0 6 3 3f3f74
0 7 3 3f3f74
